n	REAL(eigenstate[n])	IMAG(eigenstate[n])
0	0.000001	0.000001
1	0.000001	0.000001
2	0.000002	0.000001
3	0.000003	0.000001
4	0.000003	0.000001
5	0.000004	0.000002
6	0.000003	0.000002
7	0.000004	0.000003
8	0.000003	0.000003
9	0.000003	0.000003
10	0.000003	0.000003
11	0.000004	0.000003
12	0.000004	0.000003
13	0.000004	0.000003
14	0.000005	0.000003
15	0.000005	0.000004
16	0.000006	0.000004
17	0.000006	0.000005
18	0.000006	0.000006
19	0.000005	0.000005
20	0.000003	0.000004
21	0.000002	0.000003
22	0.000002	0.000002
23	0.000001	0.000000
24	0.000001	-0.000000
25	-0.000000	-0.000001
26	-0.000001	-0.000001
27	-0.000001	-0.000000
28	-0.000001	0.000001
29	-0.000001	0.000003
30	0.000000	0.000004
31	0.000000	0.000004
32	0.000000	0.000005
33	0.000000	0.000005
34	-0.000000	0.000005
35	-0.000001	0.000005
36	-0.000002	0.000005
37	-0.000002	0.000005
38	-0.000002	0.000005
39	-0.000002	0.000005
40	-0.000002	0.000005
41	-0.000001	0.000004
42	-0.000000	0.000003
43	0.000001	0.000003
44	0.000002	0.000003
45	0.000003	0.000003
46	0.000003	0.000002
47	0.000004	0.000001
48	0.000003	0.000001
49	0.000003	0.000001
50	0.000003	0.000002
51	0.000002	0.000002
52	0.000002	0.000002
53	0.000001	0.000002
54	0.000001	0.000001
55	0.000001	-0.000000
56	0.000001	-0.000001
57	0.000002	-0.000001
58	0.000003	-0.000002
59	0.000003	-0.000002
60	0.000004	-0.000002
61	0.000005	-0.000003
62	0.000006	-0.000004
63	0.000006	-0.000004
64	0.000006	-0.000005
65	0.000005	-0.000006
66	0.000004	-0.000005
67	0.000002	-0.000004
68	0.000001	-0.000004
69	0.000001	-0.000003
70	-0.000000	-0.000002
71	-0.000001	-0.000002
72	-0.000001	-0.000001
73	-0.000001	-0.000001
74	-0.000001	-0.000001
75	-0.000001	-0.000001
76	-0.000000	-0.000001
77	0.000000	-0.000000
78	0.000001	-0.000000
79	0.000002	0.000000
80	0.000003	0.000000
81	0.000004	0.000000
