n	REAL(eigenstate[n])	IMAG(eigenstate[n])
0	0.000079	0.000080
1	0.000156	0.000157
2	0.000228	0.000221
3	0.000286	0.000275
4	0.000339	0.000330
5	0.000381	0.000379
6	0.000421	0.000426
7	0.000454	0.000468
8	0.000474	0.000504
9	0.000496	0.000534
10	0.000521	0.000569
11	0.000548	0.000592
12	0.000574	0.000613
13	0.000604	0.000632
14	0.000629	0.000654
15	0.000645	0.000678
16	0.000659	0.000691
17	0.000664	0.000711
18	0.000665	0.000722
19	0.000672	0.000729
20	0.000685	0.000742
21	0.000696	0.000747
22	0.000710	0.000753
23	0.000729	0.000765
24	0.000743	0.000780
25	0.000758	0.000799
26	0.000778	0.000809
27	0.000799	0.000818
28	0.000828	0.000824
29	0.000851	0.000830
30	0.000867	0.000832
31	0.000881	0.000830
32	0.000891	0.000830
33	0.000904	0.000831
34	0.000908	0.000835
35	0.000912	0.000841
36	0.000922	0.000853
37	0.000932	0.000855
38	0.000949	0.000857
39	0.000962	0.000855
40	0.000967	0.000847
41	0.000968	0.000845
42	0.000966	0.000849
43	0.000960	0.000861
44	0.000953	0.000867
45	0.000948	0.000872
46	0.000949	0.000878
47	0.000945	0.000892
48	0.000941	0.000899
49	0.000944	0.000913
50	0.000946	0.000927
51	0.000947	0.000938
52	0.000945	0.000944
53	0.000948	0.000957
54	0.000945	0.000966
55	0.000942	0.000985
56	0.000946	0.000999
57	0.000942	0.001019
58	0.000942	0.001034
59	0.000942	0.001047
60	0.000947	0.001053
61	0.000955	0.001051
62	0.000955	0.001053
63	0.000960	0.001064
64	0.000970	0.001077
65	0.000973	0.001093
66	0.000985	0.001105
67	0.000997	0.001120
68	0.001009	0.001133
69	0.001023	0.001142
70	0.001032	0.001158
71	0.001033	0.001166
72	0.001040	0.001169
73	0.001045	0.001168
74	0.001051	0.001167
75	0.001061	0.001176
76	0.001080	0.001184
77	0.001090	0.001190
78	0.001097	0.001189
79	0.001107	0.001195
80	0.001117	0.001195
81	0.001124	0.001203
82	0.001132	0.001209
83	0.001144	0.001224
84	0.001150	0.001232
85	0.001163	0.001236
86	0.001173	0.001242
87	0.001188	0.001257
88	0.001197	0.001266
89	0.001208	0.001269
90	0.001212	0.001276
91	0.001207	0.001282
92	0.001209	0.001280
93	0.001202	0.001271
94	0.001205	0.001255
95	0.001203	0.001245
96	0.001202	0.001234
97	0.001209	0.001226
98	0.001217	0.001210
99	0.001217	0.001195
100	0.001224	0.001185
101	0.001227	0.001184
102	0.001238	0.001176
103	0.001245	0.001177
104	0.001245	0.001170
105	0.001250	0.001169
106	0.001250	0.001163
107	0.001246	0.001163
108	0.001252	0.001172
109	0.001249	0.001177
110	0.001238	0.001191
111	0.001226	0.001200
112	0.001220	0.001213
113	0.001220	0.001220
114	0.001226	0.001226
115	0.001225	0.001239
116	0.001231	0.001256
117	0.001244	0.001271
118	0.001255	0.001292
119	0.001273	0.001305
120	0.001281	0.001320
121	0.001295	0.001338
122	0.001309	0.001352
123	0.001318	0.001357
124	0.001326	0.001363
125	0.001334	0.001365
126	0.001342	0.001370
127	0.001348	0.001381
128	0.001347	0.001393
129	0.001353	0.001397
130	0.001350	0.001411
131	0.001351	0.001417
132	0.001352	0.001431
133	0.001358	0.001447
134	0.001367	0.001453
135	0.001377	0.001462
136	0.001383	0.001476
137	0.001398	0.001488
138	0.001413	0.001507
139	0.001425	0.001520
140	0.001437	0.001525
141	0.001452	0.001536
142	0.001470	0.001540
143	0.001490	0.001535
144	0.001504	0.001537
145	0.001524	0.001539
146	0.001547	0.001536
147	0.001563	0.001533
148	0.001571	0.001525
149	0.001574	0.001524
150	0.001578	0.001529
151	0.001583	0.001540
152	0.001582	0.001557
153	0.001586	0.001575
154	0.001594	0.001598
155	0.001608	0.001613
