n	REAL(eigenstate[n])	IMAG(eigenstate[n])
0	0.000101	0.000092
1	0.000190	0.000166
2	0.000271	0.000238
3	0.000356	0.000312
4	0.000426	0.000379
5	0.000490	0.000447
6	0.000540	0.000502
7	0.000581	0.000558
8	0.000627	0.000609
9	0.000671	0.000655
10	0.000706	0.000690
11	0.000734	0.000714
12	0.000752	0.000727
13	0.000773	0.000741
14	0.000792	0.000760
15	0.000808	0.000773
16	0.000820	0.000785
17	0.000828	0.000802
18	0.000840	0.000825
19	0.000848	0.000843
20	0.000847	0.000867
21	0.000854	0.000895
22	0.000861	0.000917
23	0.000869	0.000931
24	0.000877	0.000943
25	0.000883	0.000948
26	0.000882	0.000958
27	0.000886	0.000971
28	0.000885	0.000980
29	0.000875	0.000988
30	0.000869	0.001001
31	0.000857	0.001016
32	0.000840	0.001022
33	0.000829	0.001030
34	0.000824	0.001029
35	0.000825	0.001022
36	0.000832	0.001026
37	0.000830	0.001036
38	0.000834	0.001043
39	0.000842	0.001056
40	0.000856	0.001067
41	0.000860	0.001073
42	0.000869	0.001070
43	0.000873	0.001074
44	0.000869	0.001072
45	0.000872	0.001067
46	0.000882	0.001071
47	0.000898	0.001068
48	0.000917	0.001059
49	0.000928	0.001056
50	0.000947	0.001054
51	0.000965	0.001042
52	0.000989	0.001037
53	0.001004	0.001033
54	0.001015	0.001034
55	0.001018	0.001042
56	0.001031	0.001041
57	0.001037	0.001035
58	0.001032	0.001036
59	0.001036	0.001034
60	0.001044	0.001026
61	0.001045	0.001024
62	0.001054	0.001023
63	0.001068	0.001013
64	0.001087	0.001004
65	0.001099	0.001002
66	0.001120	0.001004
67	0.001142	0.001007
68	0.001156	0.001014
69	0.001170	0.001023
70	0.001184	0.001029
71	0.001199	0.001036
72	0.001220	0.001041
73	0.001238	0.001048
74	0.001247	0.001061
75	0.001247	0.001067
76	0.001238	0.001078
77	0.001227	0.001080
78	0.001209	0.001091
79	0.001193	0.001092
80	0.001187	0.001102
81	0.001183	0.001114
82	0.001175	0.001134
83	0.001169	0.001146
84	0.001168	0.001156
85	0.001173	0.001156
86	0.001181	0.001151
87	0.001193	0.001141
88	0.001212	0.001130
89	0.001227	0.001127
90	0.001235	0.001131
91	0.001246	0.001131
92	0.001255	0.001122
93	0.001256	0.001122
94	0.001248	0.001123
95	0.001239	0.001125
96	0.001226	0.001136
97	0.001221	0.001139
98	0.001211	0.001141
99	0.001208	0.001142
100	0.001207	0.001153
101	0.001200	0.001166
102	0.001201	0.001175
103	0.001206	0.001189
104	0.001217	0.001210
105	0.001233	0.001221
106	0.001244	0.001239
107	0.001246	0.001255
108	0.001244	0.001276
109	0.001239	0.001288
110	0.001237	0.001298
111	0.001232	0.001315
112	0.001236	0.001341
113	0.001239	0.001363
114	0.001247	0.001379
115	0.001249	0.001393
116	0.001241	0.001406
117	0.001237	0.001418
118	0.001227	0.001420
119	0.001224	0.001422
120	0.001220	0.001414
121	0.001223	0.001410
122	0.001216	0.001414
123	0.001211	0.001426
124	0.001214	0.001437
125	0.001224	0.001439
126	0.001239	0.001443
127	0.001255	0.001444
128	0.001273	0.001452
129	0.001280	0.001451
130	0.001286	0.001450
131	0.001298	0.001443
132	0.001313	0.001437
133	0.001327	0.001434
134	0.001334	0.001439
135	0.001348	0.001442
136	0.001353	0.001449
137	0.001359	0.001463
138	0.001370	0.001469
139	0.001382	0.001470
140	0.001388	0.001476
141	0.001392	0.001483
142	0.001402	0.001481
143	0.001420	0.001469
144	0.001431	0.001457
145	0.001449	0.001454
146	0.001462	0.001453
147	0.001468	0.001459
148	0.001473	0.001472
149	0.001486	0.001490
150	0.001490	0.001511
151	0.001491	0.001538
152	0.001497	0.001559
153	0.001499	0.001589
154	0.001495	0.001620
155	0.001487	0.001642
156	0.001480	0.001662
157	0.001472	0.001690
158	0.001472	0.001716
159	0.001479	0.001741
160	0.001485	0.001760
161	0.001495	0.001786
162	0.001509	0.001818
163	0.001526	0.001840
164	0.001546	0.001857
165	0.001574	0.001878
166	0.001601	0.001907
167	0.001621	0.001933
168	0.001634	0.001956
169	0.001654	0.001981
170	0.001677	0.002006
171	0.001706	0.002028
172	0.001728	0.002046
173	0.001753	0.002063
174	0.001786	0.002074
175	0.001814	0.002087
176	0.001841	0.002101
177	0.001862	0.002108
178	0.001875	0.002108
179	0.001886	0.002120
180	0.001899	0.002140
181	0.001919	0.002158
182	0.001941	0.002169
183	0.001961	0.002172
184	0.001984	0.002184
185	0.002005	0.002193
186	0.002027	0.002199
187	0.002050	0.002201
188	0.002078	0.002210
189	0.002115	0.002213
190	0.002158	0.002221
191	0.002195	0.002225
192	0.002229	0.002223
193	0.002261	0.002220
194	0.002292	0.002218
195	0.002322	0.002222
196	0.002345	0.002216
197	0.002362	0.002206
198	0.002377	0.002203
199	0.002396	0.002200
200	0.002423	0.002208
201	0.002448	0.002206
202	0.002470	0.002204
203	0.002489	0.002210
204	0.002501	0.002206
205	0.002519	0.002196
206	0.002536	0.002194
207	0.002548	0.002201
208	0.002558	0.002212
209	0.002564	0.002225
210	0.002570	0.002243
211	0.002582	0.002264
212	0.002604	0.002286
213	0.002624	0.002317
214	0.002646	0.002342
215	0.002664	0.002359
216	0.002676	0.002373
217	0.002696	0.002389
218	0.002718	0.002405
219	0.002741	0.002413
220	0.002763	0.002424
221	0.002788	0.002430
222	0.002808	0.002443
223	0.002831	0.002461
224	0.002853	0.002480
225	0.002873	0.002507
226	0.002896	0.002540
227	0.002919	0.002566
228	0.002933	0.002592
229	0.002956	0.002624
230	0.002988	0.002659
231	0.003012	0.002685
232	0.003041	0.002703
233	0.003073	0.002730
234	0.003099	0.002750
235	0.003133	0.002765
236	0.003168	0.002778
237	0.003201	0.002792
238	0.003232	0.002810
239	0.003259	0.002836
240	0.003294	0.002869
241	0.003335	0.002903
242	0.003382	0.002936
243	0.003419	0.002962
244	0.003449	0.002994
245	0.003478	0.003033
246	0.003517	0.003061
247	0.003551	0.003088
248	0.003583	0.003119
249	0.003625	0.003155
250	0.003658	0.003192
251	0.003703	0.003233
252	0.003745	0.003276
253	0.003784	0.003314
254	0.003819	0.003356
255	0.003856	0.003400
256	0.003887	0.003435
257	0.003921	0.003465
258	0.003955	0.003503
259	0.003994	0.003543
260	0.004033	0.003581
261	0.004073	0.003613
262	0.004116	0.003642
263	0.004151	0.003674
264	0.004187	0.003715
265	0.004224	0.003766
266	0.004266	0.003816
267	0.004301	0.003867
268	0.004343	0.003928
269	0.004389	0.003985
270	0.004446	0.004034
271	0.004496	0.004076
272	0.004547	0.004111
273	0.004608	0.004149
274	0.004666	0.004196
275	0.004722	0.004245
276	0.004785	0.004299
277	0.004842	0.004359
278	0.004898	0.004417
279	0.004953	0.004469
280	0.005001	0.004527
281	0.005047	0.004594
282	0.005091	0.004666
283	0.005142	0.004736
284	0.005198	0.004799
285	0.005250	0.004861
286	0.005305	0.004926
287	0.005364	0.004988
288	0.005416	0.005061
289	0.005476	0.005137
290	0.005533	0.005210
291	0.005602	0.005276
292	0.005680	0.005333
293	0.005757	0.005384
294	0.005832	0.005430
295	0.005899	0.005481
296	0.005970	0.005531
297	0.006034	0.005579
298	0.006104	0.005635
299	0.006166	0.005699
300	0.006224	0.005762
301	0.006293	0.005819
302	0.006365	0.005883
303	0.006443	0.005950
304	0.006518	0.006019
305	0.006601	0.006088
306	0.006688	0.006159
307	0.006776	0.006237
308	0.006876	0.006315
309	0.006981	0.006401
310	0.007089	0.006482
311	0.007200	0.006568
312	0.007304	0.006646
313	0.007418	0.006728
314	0.007534	0.006816
315	0.007645	0.006914
316	0.007749	0.007016
317	0.007853	0.007109
318	0.007963	0.007207
319	0.008068	0.007296
320	0.008177	0.007394
321	0.008283	0.007503
322	0.008399	0.007605
323	0.008517	0.007713
324	0.008640	0.007828
325	0.008773	0.007937
326	0.008917	0.008039
327	0.009055	0.008141
328	0.009187	0.008253
329	0.009324	0.008375
330	0.009471	0.008499
331	0.009614	0.008629
332	0.009764	0.008769
333	0.009917	0.008910
334	0.010073	0.009050
335	0.010226	0.009193
336	0.010384	0.009349
337	0.010536	0.009506
338	0.010686	0.009662
339	0.010829	0.009821
340	0.010980	0.009987
341	0.011140	0.010164
342	0.011300	0.010344
343	0.011463	0.010532
344	0.011633	0.010722
345	0.011816	0.010924
346	0.012006	0.011129
347	0.012196	0.011328
348	0.012391	0.011526
349	0.012594	0.011734
350	0.012798	0.011935
351	0.012997	0.012146
352	0.013195	0.012368
353	0.013391	0.012585
354	0.013595	0.012804
355	0.013794	0.013022
356	0.013992	0.013239
357	0.014201	0.013465
358	0.014415	0.013698
359	0.014624	0.013928
360	0.014832	0.014155
361	0.015046	0.014377
362	0.015257	0.014609
363	0.015466	0.014854
364	0.015684	0.015106
365	0.015910	0.015369
366	0.016144	0.015627
367	0.016392	0.015894
368	0.016651	0.016173
369	0.016910	0.016450
370	0.017172	0.016730
371	0.017445	0.017012
372	0.017716	0.017300
373	0.017986	0.017596
374	0.018268	0.017900
375	0.018562	0.018204
376	0.018857	0.018504
377	0.019165	0.018808
378	0.019476	0.019115
379	0.019785	0.019417
380	0.020106	0.019718
381	0.020426	0.020029
382	0.020753	0.020346
383	0.021084	0.020661
384	0.021416	0.020980
385	0.021763	0.021307
386	0.022105	0.021646
387	0.022453	0.021993
388	0.022803	0.022341
389	0.023146	0.022698
390	0.023486	0.023054
391	0.023826	0.023422
392	0.024168	0.023792
393	0.024522	0.024161
394	0.024877	0.024541
395	0.025226	0.024915
396	0.025587	0.025288
397	0.025959	0.025661
398	0.026334	0.026036
399	0.026723	0.026411
400	0.027105	0.026798
401	0.027497	0.027197
402	0.027895	0.027591
403	0.028296	0.027986
404	0.028692	0.028374
405	0.029088	0.028764
406	0.029483	0.029152
407	0.029885	0.029545
408	0.030297	0.029946
409	0.030715	0.030351
410	0.031137	0.030753
411	0.031562	0.031160
412	0.031998	0.031570
413	0.032446	0.031978
414	0.032900	0.032388
415	0.033353	0.032808
416	0.033816	0.033234
417	0.034287	0.033656
418	0.034760	0.034079
419	0.035238	0.034500
420	0.035721	0.034924
421	0.036213	0.035358
422	0.036708	0.035785
423	0.037209	0.036213
424	0.037705	0.036641
425	0.038206	0.037068
426	0.038698	0.037500
427	0.039186	0.037927
428	0.039675	0.038344
429	0.040165	0.038754
430	0.040647	0.039160
